SAMPLE_ID,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,TARGET
12,0.10256410256410256,0.6000000000000001,0.75,0.75,0.25,1.0,0.5,0.75,0.25,0.25,0.5,0.5,0.75,0.25,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
13,0.11538461538461539,0.6000000000000001,0.5,0.75,0.25,0.75,0.75,0.25,0.75,0.25,0.0,0.5,0.0,1.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
14,0.10256410256410256,0.6000000000000001,1.0,0.5,0.25,0.0,0.75,0.75,0.25,0.5,0.25,0.5,0.5,0.5,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
15,0.11538461538461539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
16,0.12820512820512822,0.2,0.5,0.75,0.25,0.5,0.75,0.75,0.5,0.25,0.25,0.5,0.75,0.25,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
17,0.10256410256410256,0.0,0.25,0.25,0.0,0.25,0.75,0.25,0.0,0.5,0.0,0.75,0.0,0.5,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
18,0.15384615384615383,0.8,1.0,1.0,0.75,0.75,0.5,0.5,0.0,0.75,0.25,0.25,0.25,0.25,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2
19,0.19230769230769232,0.2,0.5,0.75,0.25,0.75,1.0,1.0,0.25,0.5,0.0,0.5,0.5,0.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
20,0.2692307692307693,0.2,0.25,0.75,0.5,0.5,0.75,0.0,0.0,1.0,0.5,0.25,0.25,0.25,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
21,0.11538461538461539,0.4,0.75,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.0,0.25,0.5,0.25,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2
22,0.12820512820512822,1.0,0.5,0.25,0.75,0.25,0.75,0.25,1.0,0.25,0.0,0.5,0.5,0.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
23,0.16666666666666666,0.6000000000000001,0.5,0.75,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.75,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
24,0.12820512820512822,0.2,0.5,0.25,0.25,0.75,0.75,0.5,0.5,0.25,0.5,0.75,0.75,0.0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
25,0.12820512820512822,0.6000000000000001,0.5,0.5,1.0,1.0,1.0,1.0,0.75,0.0,0.5,0.5,1.0,1.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
26,0.28205128205128205,0.6000000000000001,0.75,0.75,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.25,0.25,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2
27,0.08974358974358973,0.6000000000000001,0.75,0.75,0.5,0.5,0.5,0.75,0.25,0.5,0.5,0.75,0.5,0.75,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
28,0.28205128205128205,0.4,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
29,0.11538461538461539,0.8,0.5,0.75,0.5,0.75,1.0,0.75,0.75,0.5,0.25,0.75,0.75,0.0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
30,0.10256410256410256,0.6000000000000001,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,0.5,1.0,0.75,0.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
31,0.11538461538461539,0.6000000000000001,0.75,0.75,0.5,0.5,1.0,0.75,1.0,0.25,0.5,1.0,0.75,0.5,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
32,0.28205128205128205,0.4,0.5,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.75,0.25,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
33,0.14102564102564105,0.4,0.5,0.5,0.5,0.5,0.5,0.75,0.25,0.5,0.5,0.25,0.5,0.5,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
34,0.0641025641025641,0.4,0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.25,0.75,0.5,0.5,0.25,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2
35,0.07692307692307693,0.6000000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.0,1.0,0.75,0.75,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
36,0.10256410256410256,1.0,0.5,0.75,1.0,0.75,0.75,1.0,0.0,0.5,0.0,0.75,0.25,0.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
37,0.10256410256410256,0.6000000000000001,1.0,0.5,0.75,0.5,0.25,0.5,1.0,0.5,0.75,0.5,0.5,0.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
38,0.12820512820512822,0.0,0.25,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.75,1.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
39,0.11538461538461539,0.6000000000000001,0.75,1.0,1.0,0.75,0.75,0.75,0.25,0.5,0.5,0.25,0.25,1.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
40,0.11538461538461539,0.4,0.75,0.75,0.25,0.75,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.75,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2
41,0.10256410256410256,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.5,0.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
42,0.10256410256410256,0.6000000000000001,0.5,1.0,0.25,0.5,0.5,0.5,0.5,0.75,0.25,0.75,0.25,0.25,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
43,0.5512820512820513,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.25,0.5,0.0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
44,0.07692307692307693,1.0,0.5,0.25,0.75,0.75,1.0,0.75,1.0,0.25,0.0,1.0,0.75,0.25,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
45,0.14102564102564105,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
46,0.11538461538461539,1.0,0.75,1.0,0.75,0.75,1.0,0.25,0.5,0.5,0.5,0.5,0.25,0.5,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
47,0.6666666666666666,0.6000000000000001,1.0,0.5,0.25,0.25,0.25,0.0,0.5,0.75,0.5,0.0,0.5,0.25,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
48,0.051282051282051294,0.6000000000000001,0.75,0.5,0.0,0.5,1.0,0.5,0.75,0.25,0.0,0.5,1.0,0.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2
49,0.34615384615384615,0.4,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.5,0.0,0.25,0.25,0.0,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
50,0.2564102564102564,0.6000000000000001,0.5,0.5,0.0,0.5,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
51,0.11538461538461539,0.6000000000000001,0.75,0.75,0.5,0.75,0.5,0.25,0.0,0.5,0.5,0.5,0.75,0.75,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
52,0.14102564102564105,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.25,0.25,0.0,0.5,1.0,0.0,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
53,0.16666666666666666,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
54,0.5384615384615384,0.2,0.5,0.25,0.0,0.5,0.25,0.0,0.0,0.5,0.0,0.0,0.25,0.0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
55,0.16666666666666666,0.2,0.75,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.5,0.25,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
56,0.1794871794871795,1.0,0.25,1.0,1.0,0.75,0.75,1.0,0.5,0.5,0.75,1.0,0.25,0.5,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
57,0.11538461538461539,1.0,0.5,0.25,0.0,0.25,0.75,0.25,0.0,0.5,0.0,0.5,0.75,0.25,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2
58,0.07692307692307693,0.4,0.5,0.25,0.25,0.25,0.75,0.5,0.5,0.5,0.25,0.75,0.75,1.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
59,0.11538461538461539,0.4,0.75,1.0,0.25,0.75,0.75,0.75,0.5,0.5,0.75,1.0,0.75,0.25,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
60,0.08974358974358973,0.2,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.5,0.0,0.0,0.5,1.0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
61,0.15384615384615383,1.0,0.75,0.5,0.5,0.75,0.75,0.75,0.25,0.25,0.25,0.75,0.5,0.75,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
62,0.15384615384615383,0.2,0.25,0.25,0.0,0.5,1.0,0.75,1.0,0.25,0.75,0.75,1.0,0.75,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
63,0.0641025641025641,1.0,0.75,0.75,0.5,1.0,0.75,0.5,0.0,0.5,0.0,1.0,0.75,1.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
64,0.15384615384615383,0.2,0.5,0.0,0.0,0.5,0.25,0.75,0.0,0.5,0.0,1.0,0.0,1.0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2
65,0.07692307692307693,0.4,0.25,0.5,0.0,1.0,0.5,1.0,0.0,0.5,0.0,0.0,1.0,0.75,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2
66,0.14102564102564105,0.2,0.5,0.25,0.75,0.5,0.25,0.25,0.0,0.5,0.25,0.25,0.75,0.75,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
67,0.10256410256410256,0.6000000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.75,0.75,0.75,0.0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
68,0.0641025641025641,0.4,0.25,0.0,0.25,0.5,1.0,0.5,0.25,0.5,0.25,0.75,0.25,0.75,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
69,0.01282051282051283,0.2,0.75,0.25,0.25,0.5,1.0,0.5,0.5,0.75,0.25,0.75,0.75,0.75,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
70,0.15384615384615383,0.6000000000000001,0.75,0.75,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.75,0.75,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
71,0.2564102564102564,0.6000000000000001,0.25,0.75,0.5,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
72,0.12820512820512822,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
73,0.01282051282051283,1.0,0.75,0.75,0.25,0.25,0.75,0.25,0.75,0.25,0.75,0.75,0.75,1.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
74,0.3205128205128205,0.2,1.0,0.25,0.0,0.5,0.25,0.0,0.0,0.5,0.0,0.25,0.0,0.25,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
75,0.12820512820512822,0.8,0.75,0.75,0.5,0.5,0.75,1.0,0.5,0.25,0.75,1.0,1.0,0.75,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
76,0.16666666666666666,0.0,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.75,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
77,0.14102564102564105,0.4,0.75,1.0,0.5,0.75,0.5,0.25,0.25,0.5,0.75,1.0,0.75,0.25,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
78,0.10256410256410256,0.6000000000000001,0.75,0.5,0.75,0.75,1.0,0.75,1.0,0.0,0.25,0.75,0.75,0.25,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
79,0.0641025641025641,0.6000000000000001,0.75,0.5,0.5,0.5,1.0,1.0,0.75,0.5,0.0,1.0,1.0,1.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
80,0.19230769230769232,0.6000000000000001,0.25,1.0,0.75,0.5,1.0,1.0,1.0,0.25,0.0,1.0,0.5,1.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
81,0.11538461538461539,0.4,0.75,0.75,0.75,1.0,1.0,1.0,0.5,0.5,0.0,0.75,0.75,1.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
82,0.10256410256410256,1.0,0.75,0.75,0.25,1.0,0.75,0.75,0.5,0.5,0.25,0.0,1.0,0.75,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
83,0.10256410256410256,1.0,1.0,1.0,0.5,1.0,0.75,1.0,0.25,0.5,0.25,0.75,1.0,0.25,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
84,0.10256410256410256,0.8,0.5,1.0,1.0,1.0,0.5,1.0,0.75,0.75,0.5,0.75,1.0,1.0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
85,0.051282051282051294,0.4,0.75,0.75,0.5,0.75,1.0,0.75,0.5,0.25,0.75,0.25,0.75,0.25,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
86,0.14102564102564105,0.4,0.75,0.5,0.25,0.5,1.0,0.25,0.5,0.25,0.25,0.75,0.5,0.0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2
87,0.11538461538461539,0.2,0.5,0.75,0.5,0.75,0.0,0.5,0.0,0.25,0.25,0.25,0.75,0.75,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
88,0.24358974358974358,0.2,0.75,0.5,0.25,1.0,0.25,1.0,0.25,0.75,0.0,0.0,0.25,0.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
89,0.11538461538461539,0.4,1.0,0.75,0.25,0.25,0.0,0.5,0.0,0.5,1.0,0.5,0.25,0.25,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
90,0.08974358974358973,0.4,0.75,1.0,0.75,1.0,1.0,1.0,0.75,0.25,0.75,1.0,1.0,0.75,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
91,0.11538461538461539,0.4,0.5,1.0,0.25,0.75,0.75,0.75,0.25,0.5,0.25,0.75,0.75,0.5,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
92,0.19230769230769232,0.6000000000000001,0.75,1.0,0.75,1.0,1.0,1.0,0.25,0.5,0.25,0.75,1.0,0.25,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
93,0.11538461538461539,1.0,0.75,0.5,0.5,0.75,1.0,0.75,0.0,0.5,0.25,0.75,0.25,0.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
94,0.051282051282051294,0.8,0.75,0.75,0.5,0.75,0.25,0.75,0.5,0.25,0.25,0.5,0.5,1.0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
95,0.21794871794871792,0.8,0.75,1.0,0.5,0.25,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.75,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
96,0.11538461538461539,1.0,1.0,1.0,0.0,0.5,0.25,1.0,0.25,0.0,0.0,0.5,0.0,1.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
97,0.01282051282051283,0.8,1.0,1.0,0.25,0.75,0.25,0.5,0.0,0.5,0.0,0.0,0.5,1.0,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
98,0.08974358974358973,1.0,0.75,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.75,0.5,0.25,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
99,0.11538461538461539,1.0,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.5,0.75,1.0,1.0,0.5,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
100,0.038461538461538464,0.8,0.75,1.0,0.25,1.0,0.5,0.75,0.5,0.0,0.75,0.25,0.0,0.5,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
101,0.11538461538461539,0.4,0.5,0.75,0.5,0.75,0.75,0.5,0.25,0.25,0.5,0.5,0.25,0.5,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2
102,0.11538461538461539,0.2,1.0,0.75,0.5,0.75,0.75,0.25,0.0,0.0,0.0,1.0,0.5,1.0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
103,0.11538461538461539,0.6000000000000001,0.5,0.75,0.5,0.5,0.75,0.5,0.25,0.5,0.5,0.75,0.5,0.5,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
104,0.11538461538461539,0.2,0.75,0.5,0.75,0.5,1.0,1.0,0.5,0.5,0.75,0.5,1.0,1.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
105,0.10256410256410256,0.8,0.25,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.75,0.0,0.5,0.5,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
106,0.12820512820512822,0.8,0.25,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.25,0.75,1.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
107,0.12820512820512822,0.4,0.5,0.25,0.25,0.75,0.25,0.25,0.0,0.5,0.5,0.5,0.75,1.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
108,0.4487179487179488,0.2,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.5,0.25,0.0,0.0,0.0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
